Date,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees,Day,Month,Year
01-01-1997,7,4,2,5,3,2,100,95,76,1010,1008,1004,10,9,4,13,6,,0,6,,229,1,1,1997
02-01-1997,7,3,0,6,3,0,100,92,71,1007,1003,997,10,9,4,26,8,47,0,5,Rain,143,2,1,1997
03-01-1997,5,3,2,5,1,-1,100,85,70,1005,999,996,10,10,7,27,19,,0,6,Rain-Snow,256,3,1,1997
04-01-1997,7,3,-1,-2,-3,-4,86,63,49,1012,1010,1005,10,10,10,27,19,40,0,2,,284,4,1,1997
05-01-1997,2,0,-1,2,0,-3,100,95,86,1012,1008,1005,10,5,1,14,6,,0,7,Snow,2,5,1,1997
06-01-1997,7,3,1,2,-1,-3,100,82,57,1014,1010,1008,10,10,10,11,5,,0,4,,64,6,1,1997
07-01-1997,2,0,-2,1,-1,-3,100,93,75,1016,1014,1009,10,7,0,6,2,,0,7,Snow,43,7,1,1997
08-01-1997,8,4,1,7,4,1,100,96,87,1015,1005,1003,10,8,4,26,8,,0,7,Rain,273,8,1,1997
09-01-1997,12,10,8,8,3,0,100,65,44,1015,1008,1003,10,10,10,48,23,48,0,4,Rain,274,9,1,1997
10-01-1997,13,8,3,8,5,1,93,83,63,1021,1018,1016,10,10,10,13,5,,0,5,,100,10,1,1997
11-01-1997,16,10,5,10,7,5,100,90,67,1024,1022,1021,10,6,0,11,2,,0,3,Fog,344,11,1,1997
12-01-1997,17,10,3,8,6,3,100,84,55,1024,1022,1020,10,10,10,14,8,,0,1,,345,12,1,1997
13-01-1997,15,9,4,9,4,-1,100,75,38,1022,1021,1019,10,9,3,11,2,,0,4,Fog,128,13,1,1997
14-01-1997,11,6,0,4,2,0,100,81,50,1022,1020,1019,10,9,1,14,2,,0,4,,35,14,1,1997
15-01-1997,11,8,5,7,5,4,100,83,62,1021,1019,1018,10,10,8,10,3,,0,6,Rain,16,15,1,1997
16-01-1997,12,9,6,8,7,6,100,89,72,1019,1017,1015,10,10,10,24,5,,0,6,,63,16,1,1997
17-01-1997,13,9,5,9,5,1,100,78,47,1022,1018,1015,10,10,7,27,13,,0,4,Rain,267,17,1,1997
18-01-1997,6,3,2,6,4,2,100,98,93,1022,1019,1015,10,7,3,8,2,,0,6,Rain,357,18,1,1997
19-01-1997,9,7,6,7,6,5,100,97,87,1015,1011,1004,10,6,2,14,8,,0,4,Rain,99,19,1,1997
20-01-1997,9,7,5,9,7,5,100,100,100,1008,1005,1003,10,8,3,13,5,,0,5,Rain,320,20,1,1997
21-01-1997,10,8,6,7,6,5,100,89,71,1013,1011,1009,10,9,4,8,3,,0,5,,65,21,1,1997
22-01-1997,13,8,3,8,5,3,100,85,58,1018,1016,1015,10,9,5,11,3,,0,5,Rain,33,22,1,1997
23-01-1997,12,10,9,10,9,9,100,96,82,1018,1014,1013,10,8,4,10,5,,0,7,Rain,29,23,1,1997
24-01-1997,13,10,7,9,8,7,100,90,67,1025,1021,1018,10,10,7,11,6,,0,5,Rain,357,24,1,1997
25-01-1997,12,9,7,9,7,6,100,89,76,1025,1024,1023,10,10,10,10,3,,0,6,,358,25,1,1997
26-01-1997,14,9,5,8,6,5,100,83,55,1026,1025,1024,10,10,9,6,2,,0,2,,180,26,1,1997
27-01-1997,15,8,2,8,6,2,100,84,55,1028,1027,1026,10,7,0,10,2,,0,6,Fog,5,27,1,1997
28-01-1997,14,10,6,7,4,2,93,74,48,1028,1027,1024,10,9,5,11,6,,0,3,,1,28,1,1997
29-01-1997,11,8,5,7,6,4,100,83,67,1029,1027,1026,10,10,7,26,6,,0,7,,140,29,1,1997
30-01-1997,15,11,8,8,7,5,100,80,59,1031,1030,1029,10,10,8,11,6,,0,5,,38,30,1,1997
31-01-1997,14,9,4,9,7,4,100,87,67,1030,1029,1027,10,9,7,6,0,,0,3,,34,31,1,1997
01-02-1997,12,9,6,9,7,6,100,95,77,1029,1028,1027,8,3,0,8,0,,0,3,Fog,0,1,2,1997
02-02-1997,13,9,5,9,7,5,100,93,72,1028,1026,1025,5,2,0,10,0,,0,5,Fog-Rain,155,2,2,1997
03-02-1997,13,10,7,9,6,1,100,76,47,1026,1025,1024,10,7,0,10,3,,0,4,Fog-Rain,72,3,2,1997
04-02-1997,12,6,0,3,2,0,100,71,51,1028,1027,1026,10,10,10,11,5,,0,1,,239,4,2,1997
05-02-1997,14,7,1,5,3,1,100,79,48,1031,1029,1028,9,9,7,8,5,,0,2,,352,5,2,1997
06-02-1997,16,8,1,6,4,1,100,79,48,1031,1029,1028,10,9,8,8,5,,0,3,,352,6,2,1997
07-02-1997,15,8,2,6,4,2,100,78,51,1031,1029,1028,10,10,10,8,2,,0,3,,9,7,2,1997
08-02-1997,15,8,2,5,1,-3,100,68,31,1033,1031,1030,10,10,10,10,2,,0,6,,180,8,2,1997
09-02-1997,14,7,-1,5,2,-2,93,74,51,1033,1031,1030,10,10,10,10,3,,0,1,,359,9,2,1997
10-02-1997,14,7,0,5,3,-1,100,76,51,1033,1031,1030,,,,8,3,,0,,,284,10,2,1997
11-02-1997,18,11,4,7,6,3,100,78,49,1033,1032,1030,10,8,6,11,3,,0,2,,32,11,2,1997
12-02-1997,18,10,3,9,6,3,100,78,52,1033,1030,1027,10,8,0,29,10,,0,1,Fog,306,12,2,1997
13-02-1997,15,11,8,8,7,4,87,72,58,1030,1029,1027,10,10,10,21,14,,0,3,,250,13,2,1997
14-02-1997,15,12,10,10,9,7,94,82,67,1027,1023,1020,10,10,10,35,19,53,0,4,,252,14,2,1997
15-02-1997,16,10,5,7,2,1,81,54,39,1026,1024,1021,10,10,10,29,14,47,0,2,Fog,268,15,2,1997
16-02-1997,15,7,-1,5,3,-1,100,76,51,1025,1023,1022,10,10,10,14,3,,0,2,,214,16,2,1997
17-02-1997,15,8,2,5,3,1,100,75,39,1029,1027,1025,10,10,10,14,5,,0,1,,190,17,2,1997
18-02-1997,16,9,2,5,3,1,100,72,48,1035,1031,1029,10,10,10,11,3,,0,2,,15,18,2,1997
19-02-1997,18,10,2,7,4,2,100,71,40,1035,1033,1030,,,,11,3,,0,,,287,19,2,1997
20-02-1997,19,10,2,7,5,2,100,72,43,1033,1031,1029,10,9,8,8,2,,0,0,,254,20,2,1997
21-02-1997,20,12,4,8,6,4,100,72,40,1031,1029,1028,10,9,7,8,2,,0,2,,11,21,2,1997
22-02-1997,19,12,6,8,7,6,100,77,46,1029,1027,1025,10,10,10,19,3,,0,6,,314,22,2,1997
23-02-1997,17,12,7,12,8,5,100,79,52,1026,1023,1021,10,7,0,26,6,,0,3,Fog-Rain,210,23,2,1997
24-02-1997,15,9,4,8,6,4,100,80,55,1024,1022,1020,10,8,4,16,8,,0,4,,225,24,2,1997
25-02-1997,15,12,9,10,8,6,94,79,63,1027,1025,1024,10,9,7,21,10,,0,4,,201,25,2,1997
26-02-1997,18,11,4,8,5,3,100,76,42,1034,1030,1027,10,7,3,19,3,,0,4,,12,26,2,1997
27-02-1997,22,13,5,4,1,-1,81,54,25,1036,1034,1032,10,10,10,14,3,,0,1,,74,27,2,1997
28-02-1997,21,11,2,5,2,0,93,59,28,1035,1033,1031,,,,10,3,,0,,,347,28,2,1997
01-03-1997,21,12,4,6,4,3,93,65,33,1032,1030,1028,,,,8,5,,0,,,339,1,3,1997
02-03-1997,23,13,4,8,6,3,100,63,31,1033,1031,1029,,,,11,3,,0,,,331,2,3,1997
03-03-1997,23,14,5,8,4,2,87,58,29,1036,1034,1032,,,,8,2,,0,,,359,3,3,1997
04-03-1997,22,13,5,8,6,3,87,65,35,1034,1032,1030,10,10,10,10,2,,0,4,,359,4,3,1997
05-03-1997,23,14,5,9,6,4,93,65,33,1033,1031,1029,10,10,10,8,2,,0,4,,349,5,3,1997
06-03-1997,23,14,6,9,6,4,87,56,36,1032,1030,1028,,,,10,3,,0,,,358,6,3,1997
07-03-1997,22,13,5,6,5,3,93,59,35,1029,1026,1023,9,9,9,11,3,,0,0,,349,7,3,1997
08-03-1997,20,12,5,8,5,2,93,63,40,1029,1027,1025,10,10,10,16,5,,0,1,,163,8,3,1997
09-03-1997,19,11,3,6,3,-1,100,58,34,1031,1029,1026,,,,13,6,,0,,,139,9,3,1997
10-03-1997,20,10,1,4,1,-2,93,55,28,1031,1030,1028,,,,11,5,,0,,,12,10,3,1997
11-03-1997,22,11,1,6,2,0,93,57,28,1030,1029,1027,,,,8,3,,0,,,336,11,3,1997
12-03-1997,21,13,5,6,3,1,76,57,33,1034,1031,1030,,,,11,6,,0,,,288,12,3,1997
13-03-1997,23,13,3,8,4,1,93,65,29,1032,1030,1026,,,,10,3,,0,,,353,13,3,1997
14-03-1997,23,13,4,6,3,1,81,53,29,1027,1026,1024,,,,23,6,,0,,,14,14,3,1997
15-03-1997,21,14,8,9,6,2,71,56,46,1027,1025,1023,10,10,10,24,11,,0,1,,35,15,3,1997
16-03-1997,22,13,5,8,6,4,93,61,35,1028,1026,1024,,,,11,5,,0,,,318,16,3,1997
17-03-1997,26,14,4,10,6,3,93,60,29,1027,1025,1023,10,10,10,10,5,,0,1,,2,17,3,1997
18-03-1997,25,16,6,10,6,4,87,57,32,1024,1022,1019,10,10,10,10,2,,0,2,,323,18,3,1997
19-03-1997,23,14,6,9,5,2,87,55,35,1021,1019,1016,,,,14,3,,0,,,4,19,3,1997
20-03-1997,23,13,4,8,4,2,87,57,33,1018,1016,1014,,,,14,5,,0,,,284,20,3,1997
21-03-1997,24,13,3,8,4,1,87,56,34,1018,1016,1014,,,,14,3,,0,,,350,21,3,1997
22-03-1997,23,14,5,7,2,-2,66,46,29,1019,1017,1015,,,,23,6,,0,,,359,22,3,1997
23-03-1997,22,13,5,9,4,1,76,55,37,1019,1017,1016,10,10,10,11,5,,0,1,,329,23,3,1997
24-03-1997,23,13,4,8,4,1,81,55,33,1017,1014,1011,,,,29,5,,0,,,347,24,3,1997
25-03-1997,16,11,6,6,3,0,71,59,48,1018,1015,1013,10,10,10,37,23,55,0,2,,39,25,3,1997
26-03-1997,20,11,3,7,5,2,93,63,42,1022,1020,1018,,,,14,8,,0,,,6,26,3,1997
27-03-1997,21,12,4,7,5,3,93,61,38,1026,1024,1022,,,,11,2,,0,,,305,27,3,1997
28-03-1997,23,13,3,9,6,2,93,62,38,1023,1020,1015,10,10,10,27,5,,0,2,,40,28,3,1997
29-03-1997,22,14,8,9,6,1,76,54,43,1018,1017,1015,10,10,10,21,6,,0,1,,43,29,3,1997
30-03-1997,23,14,6,11,6,1,76,56,41,1019,1017,1015,10,10,10,10,2,,0,1,,277,30,3,1997
31-03-1997,23,14,6,10,6,1,71,56,38,1020,1017,1016,10,10,10,8,2,,0,1,,189,31,3,1997
01-04-1997,24,14,6,11,7,3,87,60,34,1019,1017,1015,10,10,10,8,5,,0,1,,83,1,4,1997
02-04-1997,25,16,6,11,6,3,81,53,29,1017,1016,1013,10,10,10,0,0,,0,2,,-1,2,4,1997
03-04-1997,24,16,7,11,7,3,81,57,36,1019,1017,1016,10,10,10,19,2,,0,3,,4,3,4,1997
04-04-1997,24,16,8,8,5,3,71,49,33,1023,1021,1019,10,10,10,29,14,,0,1,,33,4,4,1997
05-04-1997,25,17,9,10,6,1,58,49,38,1022,1020,1016,,,,26,8,,0,,,75,5,4,1997
06-04-1997,23,14,7,8,7,4,81,55,38,1020,1017,1013,10,10,10,11,6,,0,5,,9,6,4,1997
07-04-1997,21,16,12,13,9,6,94,72,43,1016,1015,1014,10,10,10,34,8,,0,5,Rain,42,7,4,1997
08-04-1997,17,13,11,12,10,6,100,80,63,1021,1018,1015,10,10,10,16,5,,0,5,,61,8,4,1997
09-04-1997,18,14,10,8,6,5,77,62,49,1026,1023,1021,10,10,10,19,8,,0,6,Rain,58,9,4,1997
10-04-1997,18,14,10,8,7,5,82,63,52,1029,1027,1026,10,10,10,19,10,,0,4,,176,10,4,1997
11-04-1997,23,13,4,8,4,-1,100,60,24,1029,1025,1020,10,9,8,19,3,,0,1,,294,11,4,1997
12-04-1997,24,16,8,5,3,-2,58,40,29,1021,1018,1014,,,,14,8,,0,,,16,12,4,1997
13-04-1997,25,16,7,8,5,2,76,49,31,1018,1016,1014,10,10,10,14,8,,0,1,,349,13,4,1997
14-04-1997,25,16,7,8,5,2,71,49,29,1018,1016,1015,10,10,10,10,3,,0,1,,47,14,4,1997
15-04-1997,26,16,7,10,6,2,76,49,32,1020,1018,1017,10,10,10,11,3,,0,2,,223,15,4,1997
16-04-1997,26,18,10,10,7,4,71,48,30,1018,1014,1010,10,10,10,32,6,50,0,6,,218,16,4,1997
17-04-1997,22,17,12,13,11,7,100,72,40,1011,1009,1006,10,10,4,26,10,45,0,6,Rain-Thunderstorm,252,17,4,1997
18-04-1997,18,14,11,12,10,7,100,78,49,1010,1008,1006,10,10,8,27,6,,0,6,Rain,232,18,4,1997
19-04-1997,17,14,12,14,13,11,100,93,82,1008,1004,1002,10,8,4,21,14,,0,6,Rain,207,19,4,1997
20-04-1997,17,14,12,13,12,10,100,87,63,1003,999,997,10,8,4,14,8,,0,6,Rain,123,20,4,1997
21-04-1997,20,15,10,10,7,2,94,64,37,1005,1001,999,10,10,8,23,13,,0,5,Rain,28,21,4,1997
22-04-1997,21,13,7,6,2,-2,53,45,32,1009,1007,1005,10,10,10,14,10,,0,3,,28,22,4,1997
23-04-1997,21,14,8,7,4,1,81,48,35,1019,1015,1011,10,10,10,26,6,,0,2,,216,23,4,1997
24-04-1997,21,13,7,10,7,5,93,62,43,1022,1020,1019,10,9,5,19,10,,0,3,,257,24,4,1997
25-04-1997,18,14,11,12,10,7,88,71,55,1023,1021,1020,10,10,10,10,3,,0,5,Rain,203,25,4,1997
26-04-1997,22,16,9,13,11,9,100,73,46,1023,1021,1019,10,9,2,23,6,42,0,4,,240,26,4,1997
27-04-1997,24,19,15,11,9,8,67,55,41,1023,1021,1019,10,10,10,34,16,,0,4,,278,27,4,1997
28-04-1997,26,19,12,13,11,6,82,57,42,1026,1024,1022,10,10,10,13,6,,0,1,,36,28,4,1997
29-04-1997,26,19,12,14,12,9,94,61,39,1023,1021,1019,10,10,10,19,5,,0,1,,33,29,4,1997
30-04-1997,27,19,12,9,7,2,72,45,26,1020,1018,1015,,,,13,6,,0,,,60,30,4,1997
01-05-1997,27,18,10,12,9,2,82,54,36,1022,1020,1017,,,,13,5,,0,,,214,1,5,1997
02-05-1997,27,19,11,13,11,7,88,57,42,1023,1021,1020,10,10,10,14,5,,0,6,,175,2,5,1997
03-05-1997,26,20,15,13,11,9,77,52,42,1023,1021,1019,10,10,10,19,6,27,0,4,,231,3,5,1997
04-05-1997,26,20,14,14,12,10,77,57,41,1019,1016,1012,10,10,10,32,10,52,0,3,,235,4,5,1997
05-05-1997,21,17,14,13,11,9,94,66,49,1011,1009,1006,10,10,5,45,29,72,0,4,Rain,259,5,5,1997
06-05-1997,17,13,10,12,4,1,88,58,39,1013,1011,1007,10,10,10,37,24,52,0,4,Rain,282,6,5,1997
07-05-1997,14,11,8,6,3,-1,76,57,41,1022,1010,1007,10,10,8,37,24,64,0,5,Rain,297,7,5,1997
08-05-1997,19,11,3,4,2,-2,75,52,37,1018,1017,1015,10,10,10,16,6,34,0,2,,291,8,5,1997
09-05-1997,21,13,7,7,6,3,81,56,40,1017,1016,1014,10,10,10,13,6,,0,3,,296,9,5,1997
10-05-1997,23,14,7,10,8,5,93,62,43,1016,1014,1011,10,10,10,23,6,37,0,3,,257,10,5,1997
11-05-1997,22,16,9,10,7,5,82,56,38,1016,1013,1012,10,10,10,19,10,45,0,3,,234,11,5,1997
12-05-1997,24,18,12,11,9,7,77,57,38,1018,1016,1014,10,10,10,24,3,34,0,3,,241,12,5,1997
13-05-1997,20,17,14,14,12,10,100,79,68,1018,1016,1015,10,10,5,21,6,,0,5,Rain-Thunderstorm,82,13,5,1997
14-05-1997,22,16,11,13,11,9,100,77,43,1017,1015,1014,10,10,8,19,8,,0,3,Rain-Thunderstorm,17,14,5,1997
15-05-1997,24,17,10,12,11,7,100,74,38,1016,1013,1010,10,10,7,26,3,45,0,4,Rain-Thunderstorm,253,15,5,1997
16-05-1997,19,16,12,13,11,7,100,76,52,1013,1012,1010,10,10,10,23,6,42,0,5,Rain-Thunderstorm,240,16,5,1997
17-05-1997,18,14,11,11,8,5,100,69,42,1016,1014,1013,10,10,10,21,11,,0,5,Rain,228,17,5,1997
18-05-1997,23,14,7,9,8,7,100,66,38,1016,1014,1010,10,10,10,26,6,,0,4,,215,18,5,1997
19-05-1997,20,16,12,12,9,7,94,66,46,1014,1012,1010,10,10,8,34,16,55,0,6,Rain,248,19,5,1997
20-05-1997,21,16,12,10,8,7,88,59,43,1016,1015,1014,10,10,10,23,11,37,0,4,,249,20,5,1997
21-05-1997,24,17,10,12,8,6,94,57,36,1017,1016,1014,10,10,10,16,6,32,0,3,,249,21,5,1997
22-05-1997,25,18,10,11,8,6,88,54,34,1017,1015,1012,10,10,10,11,3,,0,3,,277,22,5,1997
23-05-1997,27,18,10,11,9,7,82,52,32,1013,1011,1008,10,10,10,23,6,,0,3,Rain,190,23,5,1997
24-05-1997,24,19,14,13,12,11,88,64,47,1019,1012,1011,10,10,10,26,16,,0,5,,135,24,5,1997
25-05-1997,18,16,13,15,13,11,100,85,68,1015,1013,1011,10,9,2,24,11,45,0,6,Rain,25,25,5,1997
26-05-1997,22,17,13,15,13,11,94,78,56,1017,1016,1015,10,10,6,11,3,,0,5,Rain,346,26,5,1997
27-05-1997,25,18,12,14,12,9,94,65,36,1018,1017,1015,10,10,10,14,5,,0,4,,279,27,5,1997
28-05-1997,27,20,13,13,11,8,88,58,34,1017,1016,1014,10,10,10,19,6,,0,3,,266,28,5,1997
29-05-1997,29,21,14,13,12,8,88,56,35,1018,1016,1014,10,10,10,16,3,,0,5,,13,29,5,1997
30-05-1997,27,21,15,15,13,11,88,59,41,1019,1016,1012,10,10,7,21,8,,0,3,Rain-Thunderstorm,111,30,5,1997
31-05-1997,22,17,13,13,12,8,94,76,43,1015,1013,1010,10,10,8,26,10,,0,5,Rain-Thunderstorm,52,31,5,1997
01-06-1997,22,18,14,15,11,9,88,66,49,1010,1009,1007,10,10,5,35,11,53,0,4,Rain,273,1,6,1997
02-06-1997,21,18,15,12,11,10,82,67,49,1017,1013,1010,10,10,10,34,24,47,0,5,,261,2,6,1997
03-06-1997,24,17,11,12,10,8,94,62,38,1018,1016,1012,10,10,9,11,5,,0,4,,199,3,6,1997
04-06-1997,19,17,14,14,12,10,94,74,64,1012,1010,1006,10,10,7,29,8,,0,6,Rain,180,4,6,1997
05-06-1997,20,16,12,15,11,9,94,79,56,1012,1009,1008,10,9,1,26,14,,0,5,Rain,212,5,6,1997
06-06-1997,25,20,15,15,13,10,77,66,47,1014,1013,1012,10,10,10,26,11,40,0,4,,200,6,6,1997
07-06-1997,26,20,15,14,12,8,82,61,39,1017,1014,1012,10,10,10,26,10,48,0,4,,227,7,6,1997
08-06-1997,27,19,11,12,10,8,88,56,32,1020,1019,1017,10,10,10,10,3,26,0,4,,246,8,6,1997
09-06-1997,31,22,14,15,13,10,82,55,33,1020,1018,1015,10,10,10,19,5,35,0,4,,222,9,6,1997
10-06-1997,28,23,19,15,13,10,68,51,39,1016,1015,1012,10,10,10,27,11,,0,4,,215,10,6,1997
11-06-1997,27,22,17,13,12,8,73,52,36,1016,1015,1014,10,10,10,26,16,26,0,2,,233,11,6,1997
12-06-1997,28,21,14,14,11,7,88,52,26,1014,1013,1011,10,10,10,16,5,34,0,3,,233,12,6,1997
13-06-1997,29,22,16,14,12,9,72,50,35,1012,1011,1010,10,10,10,32,13,53,0,1,,212,13,6,1997
14-06-1997,30,24,18,15,13,7,73,50,32,1016,1015,1012,10,10,10,19,10,,0,3,,272,14,6,1997
15-06-1997,30,23,16,14,12,8,60,46,35,1018,1017,1016,10,10,10,27,10,35,0,2,,233,15,6,1997
16-06-1997,28,21,14,12,9,5,77,47,32,1017,1016,1015,10,10,10,26,6,37,0,1,,298,16,6,1997
17-06-1997,24,19,14,13,9,5,67,53,42,1018,1017,1015,10,10,10,13,5,,0,5,Rain,9,17,6,1997
18-06-1997,26,20,15,15,12,9,83,61,44,1017,1016,1014,10,10,7,21,10,,0,3,Rain-Thunderstorm,38,18,6,1997
19-06-1997,28,21,14,14,11,5,94,59,32,1016,1014,1012,10,10,10,16,3,27,0,3,,275,19,6,1997
20-06-1997,30,21,12,11,9,6,77,47,29,1014,1012,1009,10,10,10,26,6,42,0,1,,269,20,6,1997
21-06-1997,28,22,16,14,12,8,68,48,36,1011,1010,1008,10,10,10,37,14,55,0,2,,267,21,6,1997
22-06-1997,25,20,15,10,8,5,59,47,32,1016,1014,1011,10,10,10,26,16,,0,3,,286,22,6,1997
23-06-1997,28,19,11,10,8,5,67,46,32,1018,1017,1015,10,10,10,11,3,,0,1,,28,23,6,1997
24-06-1997,30,22,15,15,11,7,63,47,33,1019,1017,1014,10,10,10,14,6,26,0,2,,346,24,6,1997
25-06-1997,33,24,15,13,10,7,59,41,29,1015,1013,1008,10,10,10,29,10,40,0,1,,271,25,6,1997
26-06-1997,29,22,16,15,11,7,59,45,34,1010,1006,1002,10,10,10,29,10,29,0,3,,298,26,6,1997
27-06-1997,24,19,15,10,8,5,55,46,38,1005,1003,1002,10,10,10,24,14,,0,4,,353,27,6,1997
28-06-1997,19,16,13,8,7,5,72,57,43,1009,1005,1002,10,10,8,37,11,61,0,5,Rain,312,28,6,1997
29-06-1997,20,16,12,9,8,7,72,57,46,1014,1011,1009,10,10,10,21,13,,0,4,,285,29,6,1997
30-06-1997,24,17,11,9,8,6,76,51,36,1015,1014,1013,10,10,10,23,11,32,0,2,,280,30,6,1997
01-07-1997,22,17,12,13,9,6,77,60,46,1015,1013,1012,10,10,9,26,5,,0,5,Rain,235,1,7,1997
02-07-1997,22,18,15,15,11,7,94,69,43,1016,1012,1010,10,9,3,23,10,,0,6,Rain,245,2,7,1997
03-07-1997,23,16,8,10,7,4,93,55,31,1018,1017,1016,10,10,10,23,8,,0,3,,283,3,7,1997
04-07-1997,24,17,10,8,6,4,76,48,34,1024,1021,1019,10,10,10,14,3,,0,5,,20,4,7,1997
05-07-1997,26,18,11,10,8,5,76,50,34,1027,1026,1024,10,10,10,19,10,,0,1,,68,5,7,1997
06-07-1997,31,21,12,12,9,7,72,48,30,1027,1025,1021,,,,21,13,,0,,,59,6,7,1997
07-07-1997,33,23,14,17,11,7,67,44,27,1023,1021,1017,10,10,10,11,6,,0,1,,70,7,7,1997
08-07-1997,33,24,16,15,12,7,64,42,31,1019,1016,1012,10,10,8,14,8,,0,5,Rain-Thunderstorm,58,8,7,1997
09-07-1997,28,23,18,15,14,12,83,60,42,1015,1014,1012,10,10,7,32,10,19,0,3,Rain-Thunderstorm,31,9,7,1997
10-07-1997,28,20,13,14,12,11,94,60,37,1017,1015,1014,10,10,10,23,6,,0,4,Rain-Thunderstorm,338,10,7,1997
11-07-1997,30,22,14,13,12,9,88,52,33,1019,1017,1016,10,10,10,13,8,,0,2,,346,11,7,1997
12-07-1997,33,23,14,15,12,9,77,47,29,1017,1015,1012,10,10,10,16,5,,0,2,,220,12,7,1997
13-07-1997,34,28,22,16,13,10,53,40,30,1016,1014,1013,10,10,10,23,11,,0,2,,171,13,7,1997
14-07-1997,35,27,19,16,13,9,53,41,32,1020,1017,1015,10,10,10,27,13,,0,3,,155,14,7,1997
15-07-1997,33,24,17,18,15,10,94,52,30,1020,1017,1013,10,10,7,48,14,64,0,6,Rain-Thunderstorm,161,15,7,1997
16-07-1997,28,22,16,16,13,10,94,64,32,1019,1016,1014,10,10,4,19,5,,0,4,Rain-Thunderstorm,313,16,7,1997
17-07-1997,28,22,17,13,12,11,72,52,37,1019,1017,1016,10,10,10,23,6,,0,3,,23,17,7,1997
18-07-1997,37,27,17,13,11,8,59,39,24,1020,1019,1016,10,10,10,21,11,,0,2,,27,18,7,1997
19-07-1997,35,26,16,15,9,5,59,39,22,1022,1020,1018,10,10,10,19,10,,0,1,,19,19,7,1997
20-07-1997,35,26,16,16,11,6,63,42,28,1020,1018,1015,10,10,10,16,6,,0,3,,5,20,7,1997
21-07-1997,35,27,18,17,14,8,68,45,31,1016,1014,1011,10,10,9,16,5,,0,2,Rain-Thunderstorm,199,21,7,1997
22-07-1997,30,24,18,18,15,13,88,64,37,1016,1014,1012,10,9,5,29,8,48,0,5,Rain-Thunderstorm,9,22,7,1997
23-07-1997,30,23,16,17,14,12,94,62,35,1019,1017,1015,10,10,7,35,10,55,0,5,Rain-Thunderstorm,25,23,7,1997
24-07-1997,31,23,16,14,12,10,82,54,31,1023,1021,1020,10,10,10,14,5,,0,3,,16,24,7,1997
25-07-1997,36,26,16,14,13,9,77,45,25,1024,1023,1021,10,10,10,13,3,,0,1,,19,25,7,1997
26-07-1997,37,27,17,15,12,8,63,38,24,1023,1022,1019,10,10,10,10,3,,0,2,,21,26,7,1997
27-07-1997,34,27,19,19,12,9,65,42,24,1021,1020,1018,10,10,10,26,8,,0,4,Rain-Thunderstorm,15,27,7,1997
28-07-1997,36,27,19,16,12,9,65,40,26,1020,1019,1016,10,10,7,23,6,,0,4,Rain-Thunderstorm,91,28,7,1997
29-07-1997,36,27,18,17,14,12,78,50,27,1022,1019,1017,10,10,10,37,11,40,0,5,Thunderstorm,63,29,7,1997
30-07-1997,36,29,22,16,13,11,57,42,27,1020,1019,1017,10,10,10,23,6,,0,4,Thunderstorm,71,30,7,1997
31-07-1997,36,32,28,14,13,9,42,30,25,1021,1019,1017,10,10,10,10,6,,0,3,,105,31,7,1997
01-08-1997,38,29,20,17,13,9,83,40,24,1018,1016,1013,10,10,10,10,3,,0,1,,15,1,8,1997
02-08-1997,39,29,20,15,12,9,52,34,21,1017,1015,1013,10,10,10,16,8,,0,2,,4,2,8,1997
03-08-1997,38,29,21,15,12,10,49,34,22,1017,1015,1013,10,10,10,21,8,,0,1,Thunderstorm,304,3,8,1997
04-08-1997,34,27,20,18,14,11,83,52,26,1017,1015,1013,10,10,7,23,8,,0,3,Rain-Thunderstorm,83,4,8,1997
05-08-1997,32,24,18,18,13,7,88,51,22,1016,1015,1013,10,10,10,26,8,,0,2,,244,5,8,1997
06-08-1997,29,22,15,10,8,5,67,39,23,1015,1013,1011,10,10,10,24,8,,0,1,,263,6,8,1997
07-08-1997,29,22,16,10,8,5,59,39,28,1013,1012,1011,10,10,10,16,6,,0,2,,213,7,8,1997
08-08-1997,28,22,17,18,12,5,88,57,38,1017,1015,1012,10,10,9,37,6,,0,6,Rain-Thunderstorm,110,8,8,1997
09-08-1997,32,24,17,16,14,12,83,55,29,1018,1017,1015,10,10,10,10,5,,0,3,,126,9,8,1997
10-08-1997,28,23,19,16,13,9,83,54,32,1017,1016,1013,10,10,8,24,6,,0,5,Rain-Thunderstorm,245,10,8,1997
11-08-1997,30,22,14,14,10,8,88,47,25,1022,1019,1016,10,10,10,16,6,,0,3,,152,11,8,1997
12-08-1997,33,24,15,11,9,8,67,42,23,1023,1022,1020,10,10,10,13,3,,0,1,,120,12,8,1997
13-08-1997,36,26,16,14,10,7,59,36,23,1024,1023,1021,,,,10,6,,0,,,132,13,8,1997
14-08-1997,37,28,19,16,12,9,68,39,25,1024,1022,1019,10,10,10,16,6,,0,1,,153,14,8,1997
15-08-1997,37,28,19,14,12,9,64,37,24,1021,1020,1016,10,10,9,34,10,55,0,4,Thunderstorm,124,15,8,1997
